2025-04-18T16:12:40.445 - INFO: 程序启动，开始系谱分析...
2025-04-18T16:12:40.451 - INFO: 尝试连接数据库: jdbc:mysql://localhost:3306/cow?useSSL=false&serverTimezone=UTC
2025-04-18T16:12:40.593 - INFO: 数据库连接成功。执行查询: SELECT `standard_id`, `sire_id`, `dam_id` FROM `cattle_info`
2025-04-18T16:12:40.630 - INFO: 成功从数据库表 cattle_info 加载了 4170 条有效记录。
2025-04-18T16:12:40.635 - INFO: 数据库资源已关闭。
2025-04-18T16:12:40.635 - INFO: 成功从数据库加载 4170 条个体记录。
2025-04-18T16:12:40.642 - INFO: 
开始计算近交系数:
2025-04-18T16:12:40.642 - INFO: 个体 ID: HOCHNF37XC0120231933, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC0120240895, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC0120240898, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC0120240897, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC0120240899, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC0120231929, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC0120231928, 近交系数 (F): 0.000000
2025-04-18T16:12:40.649 - INFO: 个体 ID: HOCHNF37XC0120240890, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120231927, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120240892, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120240891, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120240894, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120240893, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120231922, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120231921, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC01220107, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC01221439, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC01220108, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC01221438, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120231926, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC01221437, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120231925, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC01221436, 近交系数 (F): 0.000000
2025-04-18T16:12:40.650 - INFO: 个体 ID: HOCHNF37XC0120231924, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01210784, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC0120231923, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221434, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221433, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221430, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC0120231919, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC0120231918, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC0120231916, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC0120231911, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC0120231910, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221407, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221406, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221405, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221404, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01222735, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC0120231914, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221403, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC0120231913, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221401, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01221400, 近交系数 (F): 0.000000
2025-04-18T16:12:40.651 - INFO: 个体 ID: HOCHNF37XC01222730, 近交系数 (F): 0.000000
2025-04-18T16:12:40.652 - INFO: 个体 ID: HOCHNF37XC0120231908, 近交系数 (F): 0.000000
2025-04-18T16:12:40.652 - INFO: 个体 ID: HOCHNF37XC0120231907, 近交系数 (F): 0.000000
2025-04-18T16:12:40.652 - INFO: 个体 ID: HOCHNF37XC0120231906, 近交系数 (F): 0.000000
2025-04-18T16:12:40.652 - INFO: 个体 ID: HOCHNF37XC0120222195, 近交系数 (F): 0.000000
2025-04-18T16:12:40.652 - INFO: 个体 ID: HOCHNF37XC0120231900, 近交系数 (F): 0.000000
2025-04-18T16:12:40.652 - INFO: 个体 ID: HOCHNF37XC01221419, 近交系数 (F): 0.000000
2025-04-18T16:12:40.652 - INFO: 个体 ID: HOCHNF37XC01221417, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01221416, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120231904, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01221415, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120231902, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01221413, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120231901, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01221411, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01221410, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01221409, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01210733, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120223494, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220998, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220999, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120223490, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220996, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220997, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220994, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220995, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220992, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220993, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01210712, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220991, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120223498, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120223499, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120223497, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120223483, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120223482, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240004, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240006, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240007, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240008, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240009, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240001, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120223485, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240002, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240003, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120223472, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01212550, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220178, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220179, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220176, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220174, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220175, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220172, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220173, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240016, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01220171, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240017, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240018, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC0120240019, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01223213, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01223215, 近交系数 (F): 0.000000
2025-04-18T16:12:40.653 - INFO: 个体 ID: HOCHNF37XC01223217, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240010, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240011, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240012, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120223474, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120223475, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240014, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01212560, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01212564, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220186, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220184, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240026, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220181, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240027, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220182, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240028, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240029, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220180, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01223201, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120231083, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01223203, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120231082, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240020, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240021, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240022, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240023, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240024, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120223451, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220158, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220159, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01221489, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01221488, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220157, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01221487, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220154, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220155, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01221485, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01220153, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01221483, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC01221481, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240037, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240038, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240039, 近交系数 (F): 0.000000
2025-04-18T16:12:40.657 - INFO: 个体 ID: HOCHNF37XC0120240030, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120240031, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120240032, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120223454, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120240033, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120223455, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120240034, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120223452, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120240035, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120240036, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC0120223440, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01212540, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01212542, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01220169, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01220167, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01221498, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01220166, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01221496, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01221495, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01221494, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01220161, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01221493, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01220162, 近交系数 (F): 0.000000
2025-04-18T16:12:40.659 - INFO: 个体 ID: HOCHNF37XC01221492, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC01221491, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120240049, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC01221490, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120231062, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120240040, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120240041, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120240042, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120240044, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120223444, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120240045, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120223441, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120240046, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC0120240047, 近交系数 (F): 0.000000
2025-04-18T16:12:40.660 - INFO: 个体 ID: HOCHNF37XC01221469, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01212511, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01221467, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120231055, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01221464, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01222794, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01221462, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01221461, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01222792, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120231058, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01221460, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120240059, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120231052, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120223438, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120223439, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120240051, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120223437, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120240052, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120240053, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120223432, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120240055, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120240057, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120240058, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01221479, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120240061, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01220148, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC0120231045, 近交系数 (F): 0.000000
2025-04-18T16:12:40.661 - INFO: 个体 ID: HOCHNF37XC01221477, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC01221476, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC0120231043, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC01221475, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC0120231042, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC01221474, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC01221472, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC01221471, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC0120231046, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC0120223429, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC0120240062, 近交系数 (F): 0.000000
2025-04-18T16:12:40.662 - INFO: 个体 ID: HOCHNF37XC0120223426, 近交系数 (F): 0.000000
